"Y_t" "mu_t" "t" "m" "g11" "g21" "g12" "g22" "g13" "g23" "g14" "g24"
-0.118374097825674 -0.064923638661871 0.142361102 -0.00198800091654119 -0.00763675137209503 -0.0794560613479102 -0.0199542843752193 0.0275050554846458 0.0254249875845774 -0.00693162757627525 -0.0190140577478826 -0.00291296005704321
-0.0310464159572522 -0.0636545858105337 0.246527762 -0.00196402855060242 -0.00754466338714894 -0.0784979381585107 -0.0197136650660888 0.0271733849860269 0.0251183996442525 -0.00684804234679816 -0.0187847761884424 -0.00287783404484099
0.038975432960808 0.0287148446798996 0.420138862 -0.00189562376243664 -0.00728189169749008 -0.0757639479476574 -0.0190270614612668 0.0262269681718995 0.0242435555355956 -0.0066095331428768 -0.0181305246830262 -0.00277760249364829
-0.1862044962939 -0.0135070066033652 0.489583302 -0.00185834104808671 -0.00713867304120162 -0.0742738391584931 -0.018652841370004 0.0257111418871726 0.0237667385776258 -0.00647953828786637 -0.0177739374814062 -0.00272297321414653
0.00597342303506103 -0.035061304738146 0.559027742 -0.00181541440636588 -0.00697377367554574 -0.072558154900176 -0.0182219711379817 0.0251172288499719 0.0232177401723844 -0.00632986456738003 -0.0173633694390018 -0.00266007405163843
-0.0182000350012368 -0.0645192060172145 0.628472182 -0.0017668642680281 -0.0067872720836795 -0.070617711745387 -0.0177346558360683 0.0244455117307005 0.0225968216133451 -0.0061605832179933 -0.0168990159639398 -0.0025889349427149
-0.0654360060129763 -0.0439039796372397 0.663194402 -0.00174048750438035 -0.0066859477913704 -0.0695634900228935 -0.0174699027173219 0.0240805751043638 0.0222594832938879 -0.00606861449667513 -0.0166467377567079 -0.00255028583631829
-0.0972292704690235 -0.0471966409254364 0.697916622 -0.00171271374030679 -0.00657925703024839 -0.0684534332398559 -0.0171911273999249 0.0236963102302862 0.0219042784240753 -0.00597177480844992 -0.0163810980632968 -0.0025095897457346
0.0752028753002343 -0.0642083188032834 0.732638842 -0.00168354628060716 -0.00646721249544547 -0.0672876734819136 -0.0168983630553482 0.0232927628321391 0.0215312492697292 -0.00587007567627067 -0.0161021284921698 -0.002466851513391
-0.0181711926740014 -0.0118073249356148 0.767361062 -0.00165298859591706 -0.0063498275191391 -0.0660663494628022 -0.0165916445196166 0.022869980928021 0.0211404402175829 -0.00576352920131551 -0.0158098622379116 -0.0024220762247091
0.025030890173472 0.0260220595629384 0.906249942 -0.00151693080053997 -0.00582717204806521 -0.0606284160864174 -0.0152259832073757 0.0209875485911808 0.0194003666947468 -0.00528913205262412 -0.0145085495690772 -0.00222271468514183
-0.0796499085972573 -0.000209506737091492 0.975694382 -0.00144066290568606 -0.00553419484376605 -0.0575801546485244 -0.0144604547561806 0.0199323414923311 0.0184249595590517 -0.00502320629838774 -0.0137790920799002 -0.00211096155188334
-0.118850492225186 -0.0238061397215433 1.04513882 -0.0013589498780416 -0.0052203005840654 -0.0543142631273383 -0.0136402715373445 0.018801798070304 0.0173799134043581 -0.00473829482221661 -0.0129975551030011 -0.00199122982354867
-0.154855647182279 -0.0471522697301364 1.11458326 -0.00127183060387071 -0.00488563864753169 -0.050832295722036 -0.012765823866368 0.0175964563373528 0.0162657255557801 -0.00443453321011501 -0.0121643105625907 -0.00186357647905227
-0.0580772729868432 -0.0282396146862045 1.25347214 -0.00108154173232282 -0.00415465870240366 -0.0432268644942479 -0.0108558256240571 0.0149637080692375 0.0138320786915694 -0.00377104680097666 -0.0103443095946404 -0.00158475171719892
0.165873701987614 0.069641810264181 1.32291658 -0.000978462702131064 -0.00375868860062892 -0.0391070204446542 -0.00982118410832444 0.0135375545794995 0.01251377795989 -0.00341163778749593 -0.0093584193888795 -0.00143371300531053
0.173765644588029 0.0497536217933991 1.3576388 -0.000924960590987784 -0.00355316438920436 -0.0369686577357279 -0.00928416406394486 0.012797324269092 0.0118295275150093 -0.00322509023316435 -0.00884670321085988 -0.00135531791432686
0.13058023287472 0.0196800989712509 1.39236102 -0.000870158518953441 -0.00334264647881523 -0.0347783384248448 -0.00873409584182999 0.0120391083047852 0.0111286515800492 -0.00303401006283365 -0.00832255367265063 -0.00127501802837058
0.103639098350741 0.0119446326455931 1.42708324 -0.000814063006925743 -0.00312715991898445 -0.0325363231380662 -0.00817104489458912 0.0112629969066849 0.0104112335522265 -0.00283842001313036 -0.00778603314279725 -0.00119282290232387
-0.0240105040121744 -0.00720991195414617 1.49652768 -0.00069801851521887 -0.00268138400213609 -0.0278982778658384 -0.0070062643512655 0.00965745932542546 0.00892711463841881 -0.00243380390249512 -0.00667613593486382 -0.0010227862758971
-0.0973764356179305 -0.0108159494049045 1.5312499 -0.000638083343671962 -0.00245114768798794 -0.0255027997613242 -0.0064046733524015 0.00882822418515821 0.00816059034772034 -0.00222482598682788 -0.00610289132343532 -0.000934965008172565
-0.0389142992201117 -0.0157344423115136 1.63541656 -0.000450712155776833 -0.00173137579837596 -0.018013981986467 -0.00452396095640972 0.00623584363020049 0.00576425839117898 -0.00157151276035663 -0.00431079628098139 -0.000660415443512976
-0.179725256277937 -0.00913926131518992 1.67013878 -0.000385757974708287 -0.00148185934832242 -0.0154179050164599 -0.00387199234330853 0.00533716780999089 0.00493354486710906 -0.00134503490064193 -0.00368954779989289 -0.000565239966773347
-0.0313629840515097 -0.00917447718152633 1.73958322 -0.000252150084975802 -0.000968614999817549 -0.0100778890261155 -0.00253092162029625 0.0034886312274866 0.00322480373455454 -0.000879179917793664 -0.0024116670354483 -0.000369468202858016
0.115736282996973 -0.00163486580324013 1.91319432 0.000103072499077933 0.000395945013007422 0.00411958301521687 0.00103457596058054 -0.00142606312828675 -0.00131821720380656 0.000359386241233356 0.000985827739504358 0.000151029142036827
0.010223008115758 0.000963225570060082 1.98263876 0.000253465155508127 0.000973666741297431 0.0101304495274834 0.00254412145896692 -0.0035068259313506 -0.00324162246520954 0.000883765217071328 0.00242424491045636 0.000371395137549536
0.08274359531422 0.00525256341868023 2.01736098 0.000330405602340459 0.00126922750187228 0.0132055914013019 0.00331640055767074 -0.00457133814637446 -0.00422563101831795 0.0011520359802065 0.00316013496314464 0.000484133741706511
0.0420270265063082 0.00742539560957265 2.0520832 0.000408496634059998 0.00156920814507545 0.0163267196439512 0.00410022849312112 -0.00565176931842652 -0.00522435465844107 0.00142431852516061 0.00390702968253462 0.000598558264512106
