"Magnitud","Time"
0.0575736,827.437372699361
0.0792503,827.457807199361
0.0973064,827.478241699361
0.1194937,827.498676199361
0.1613445,827.539545199361
0.1695084,827.559979699361
0.1791674,827.600848699361
0.2030504,827.621283199361
0.2774558,827.662152199361
0.3113354,827.682586699361
0.319853,827.703021199361
0.2523992,827.723455699361
-0.0338157,827.989104199361
-0.0007713,828.009538699361
0.052467,828.050407699361
0.074483,828.070842199361
0.0951387,828.091276699361
0.1163823,828.111711199361
0.159711,828.152580199361
0.1720199,828.173014699361
0.1775355,828.213883699361
0.1955715,828.234318199361
0.2660246,828.275187199361
0.2974247,828.295621699361
0.324225,828.316056199361
0.295796,828.336490699361
-0.1659763,828.377359699361
-0.3624166,828.397794199361
-0.4235612,828.438663199361
-0.3619761,828.459097699361
-0.0479586,828.602139199361
-0.0152167,828.622573699361
0.0839228,828.704311699361
0.1051465,828.724746199361
0.1519563,828.765615199361
0.1692862,828.786049699361
0.1754168,828.826918699361
0.1874396,828.847353199361
0.2516781,828.888222199361
0.2912128,828.908656699361
0.3210324,828.929091199361
0.3181027,828.949525699361
-0.3292774,829.092567199361
-0.2753506,829.113001699361
-0.1815381,829.153870699361
-0.1380112,829.174305199361
-0.0594604,829.215174199361
-0.0263152,829.235608699361
0.0340663,829.276477699361
0.0587298,829.296912199361
0.1482238,829.378650199361
0.1687095,829.399084699361
0.1784884,829.439953699361
0.1840537,829.460388199361
0.2044502,829.480822699361
0.2384404,829.501257199361
0.3128479,829.542126199361
0.3294358,829.562560699361
0.0460521,829.603429699361
-0.2217524,829.623864199361
-0.2017145,829.766905699361
-0.1568449,829.787340199361
-0.0748734,829.828209199361
-0.0392128,829.848643699361
-0.0063347,829.869078199361
0.0232107,829.889512699361
0.1373385,829.991685199361
0.1604255,830.012119699361
0.1770604,830.052988699361
0.178544,830.073423199361
0.1919885,830.093857699361
0.2238324,830.114292199361
0.3024372,830.155161199361
0.3276505,830.175595699361
0.1705593,830.216464699361
-0.1461546,830.236899199361
-0.3790182,830.318637199361
-0.3193263,830.339071699361
-0.2171179,830.379940699361
-0.1709063,830.400375199361
-0.0130268,830.482113199361
0.0169156,830.502547699361
0.1766942,830.666023699361
0.1773749,830.686458199361
0.1854344,830.706892699361
0.2109217,830.727327199361
0.2870077,830.768196199361
0.3206824,830.788630699361
0.2524782,830.829499699361
-0.0373651,830.849934199361
-0.4085052,830.931672199361
-0.3459421,830.952106699361
-0.2397629,830.992975699361
-0.1914799,831.013410199361
-0.1036218,831.054279199361
-0.0638448,831.074713699361
-0.0301591,831.095148199361
0.0008083,831.115582699361
0.0543308,831.156451699361
0.0754017,831.176886199361
0.0977237,831.197320699361
0.1210114,831.217755199361
0.1439951,831.238189699361
0.1768579,831.279058699361
0.175239,831.299493199361
0.3336124,831.422100199361
0.3019001,831.442534699361
-0.2065135,831.483403699361
-0.4160018,831.503838199361
-0.4331037,831.544707199361
-0.3690385,831.565141699361
-0.2542425,831.606010699361
-0.2074733,831.626445199361
-0.1607304,831.646879699361
-0.1173047,831.667314199361
-0.076112,831.687748699361
0.049336,831.769486699361
0.072879,831.789921199361
0.0939561,831.810355699361
0.1170204,831.830790199361
0.1641846,831.871659199361
0.1791659,831.892093699361
0.1805707,831.932962699361
0.1941175,831.953397199361
0.2206979,831.973831699361
0.2588937,831.994266199361
0.3003288,832.014700699361
-0.4841194,832.137307699361
-0.4589777,832.157742199361
-0.179672,832.259914699361
-0.1344433,832.280349199361
-0.0560648,832.321218199361
-0.0210848,832.341652699361
0.0367725,832.382521699361
0.0599342,832.402956199361
0.171719,832.505128699361
0.1776561,832.525563199361
0.1751769,832.545997699361
0.1825887,832.566432199361
0.2059489,832.586866699361
0.24174,832.607301199361
0.3212779,832.648170199361
0.3370318,832.668604699361
0.2792352,832.689039199361
-0.1945398,832.872949699361
-0.1483581,832.893384199361
-0.0647867,832.934253199361
-0.0302419,832.954687699361
0.0291985,832.995556699361
0.0552752,833.015991199361
0.0989984,833.056860199361
0.1225455,833.077294699361
0.1477306,833.097729199361
0.1707673,833.118163699361
0.1807587,833.138598199361
0.1800794,833.159032699361
0.1811068,833.179467199361
0.1985577,833.199901699361
0.231213,833.220336199361
0.2722503,833.240770699361
0.3124725,833.261205199361
0.3397862,833.281639699361
0.155009,833.322508699361
-0.1830629,833.342943199361
-0.3803967,833.424681199361
-0.3186121,833.445115699361
-0.2639239,833.465550199361
-0.0803929,833.547288199361
-0.0434368,833.567722699361
0.0183113,833.608591699361
0.0439407,833.629026199361
0.0665357,833.649460699361
0.1097152,833.690329699361
0.1335423,833.710764199361
0.1576251,833.731198699361
0.1739929,833.792502199361
0.1855318,833.812936699361
0.2129486,833.833371199361
0.2510677,833.853805699361
0.2920383,833.874240199361
0.3281302,833.894674699361
0.3347973,833.915109199361
-0.4862201,833.996847199361
-0.4707658,834.017281699361
-0.3414824,834.058150699361
-0.2843834,834.078585199361
-0.2312577,834.099019699361
-0.1824822,834.119454199361
0.1257256,834.323799199361
0.1520227,834.344233699361
0.1729143,834.364668199361
0.1794269,834.385102699361
0.1768559,834.405537199361
0.3431392,834.528144199361
0.2992199,834.548578699361
0.064903,834.569013199361
-0.2495883,834.712054699361
-0.1987315,834.732489199361
-0.15102,834.752923699361
-0.0006475,834.834661699361
0.0272999,834.855096199361
0.0509854,834.875530699361
0.0740721,834.895965199361
0.1659303,834.977703199361
0.1784174,834.998137699361
0.3256876,835.161613699361
0.1882898,835.182048199361
-0.1550711,835.202482699361
-0.4580109,835.263786199361
-0.391481,835.284220699361
-0.1705224,835.365958699361
-0.1251109,835.386393199361
-0.0832455,835.406827699361
0.0421271,835.488565699361
0.0656044,835.509000199361
0.0874527,835.529434699361
0.1572972,835.590738199361
0.1765545,835.611172699361
0.1775404,835.631607199361
0.1728222,835.652041699361
0.1836907,835.672476199361
0.2097059,835.692910699361
0.2483516,835.713345199361
0.2904351,835.733779699361
0.3276123,835.754214199361
-0.4163506,835.897255699361
-0.3512766,835.917690199361
0.0047758,836.081166199361
0.0310964,836.101600699361
0.0785948,836.142469699361
0.0999755,836.162904199361
0.1240277,836.183338699361
0.1492073,836.203773199361
0.1717058,836.224207699361
0.1794152,836.244642199361
0.1741382,836.265076699361
0.1774407,836.285511199361
0.1983005,836.305945699361
0.2315683,836.326380199361
0.2746684,836.346814699361
0.3153021,836.367249199361
0.3416905,836.387683699361
0.3098819,836.408118199361
0.1079553,836.428552699361
-0.2180121,836.448987199361
-0.4285,836.469421699361
-0.3717194,836.530725199361
-0.3101955,836.551159699361
-0.2565967,836.571594199361
-0.2046678,836.592028699361
-0.1568375,836.612463199361
-0.11174,836.632897699361
0.0702641,836.755504699361
0.0921341,836.775939199361
0.1132472,836.796373699361
0.1388971,836.816808199361
0.1640571,836.837242699361
0.177638,836.857677199361
0.2154956,837.041587699361
-0.1191172,837.062022199361
-0.3509393,837.082456699361
-0.4868584,837.102891199361
-0.4586824,837.123325699361
-0.3953939,837.143760199361
-0.3327804,837.164194699361
-0.2759088,837.184629199361
-0.2230816,837.205063699361
0.0625956,837.368539699361
0.0835404,837.388974199361
